stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,13.6364110999275,14.15258269989863,14.15258269989863,14.15258269989863,14.455162199912593,right,10.0,0,0,0.3054609000682831,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
1,2,12.0,14.486588399857283,14.986639899900183,14.986639899900183,14.986639899900183,,right,12.0,0,0,0.05839220015332103,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
2,1,14.0,15.07147579989396,15.586865099845454,15.57043719990179,15.57043719990179,15.870050199795514,left,-14.0,1,1,0.9779479000717402,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
3,1,13.0,16.57074119988829,17.069821399869397,17.069821399869397,17.069821399869397,17.38624139991589,right,13.0,1,1,0.3440872000064701,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
4,1,13.0,17.438727599801496,17.953945599962026,17.93646669993177,17.93646669993177,18.236909299856052,left,-13.0,1,1,0.30673940014094114,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
5,1,13.0,18.270311099942774,18.769574999809265,18.769574999809265,18.769574999809265,19.07021849998273,right,13.0,1,1,0.2877997001633048,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
6,1,12.0,19.08755930000916,19.587023800006136,19.587023800006136,19.587023800006136,19.887367599876598,right,12.0,1,1,0.4122129001189023,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
7,1,12.0,20.02165379980579,20.52134340000339,20.506149499909952,20.506149499909952,20.81980049982667,right,12.0,1,1,0.4638132001273334,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
8,1,12.0,20.993158699944615,21.50442219991237,21.487530899932608,21.487530899932608,21.78726279991679,left,-12.0,1,1,0.4489802001044154,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
9,1,11.0,21.953188099898398,22.453329999931157,22.437122599920258,22.437122599920258,22.737247899873182,left,-11.0,0,0,0.3886341000907123,1,001,2023-09-01_12h12.38.702,adaptive_staircase,2023.1.3,59.93788043800888,
