stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,33.96988690039143,34.48761059995741,34.48761059995741,34.50371489999816,left,-10.0,1,1,0.282137299887836,,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
1,2,8.0,34.78667820012197,35.26938940025866,35.26938940025866,35.287398600019515,right,8.0,1,1,0.30455389991402626,35.56977319996804,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
2,1,6.0,35.60218570008874,36.10291480040178,36.10291480040178,36.10291480040178,right,6.0,0,0,0.27908389968797565,36.40263150027022,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
3,1,7.0,36.40263150027022,36.90367679996416,36.90367679996416,36.90367679996416,left,-7.0,0,0,0.4890216002240777,37.20278519997373,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
4,1,8.0,37.42117700027302,37.90323289996013,37.90323289996013,37.93607230018824,right,8.0,1,1,0.51021539978683,38.203121799975634,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
5,1,8.0,38.436716000083834,38.93568420037627,38.93568420037627,38.93568420037627,right,8.0,1,1,0.4085800996981561,39.23619309999049,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
6,1,8.0,39.3698462001048,39.869115700013936,39.869115700013936,39.869115700013936,right,8.0,1,1,0.4209928996860981,40.16909880004823,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
7,1,7.0,40.32045440003276,40.801986700389534,40.801986700389534,40.83607850037515,right,7.0,1,1,0.35448809992522,41.10260120034218,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
8,1,7.0,41.18784800032154,41.6702459002845,41.6702459002845,41.68911140039563,left,-7.0,1,1,0.39542899979278445,41.96921889996156,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
9,1,7.0,42.088662300258875,42.569646700285375,42.569646700285375,42.60268820030615,right,7.0,1,1,0.37124509969726205,42.86979170003906,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
10,1,6.0,42.96946950023994,43.46868660021573,43.46868660021573,43.46868660021573,right,6.0,1,1,0.44612039998173714,43.768955199979246,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
11,1,6.0,43.93554940028116,44.436378800310194,44.436378800310194,44.436378800310194,right,6.0,1,1,0.44524329993873835,44.736151800025254,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
12,1,6.0,44.90287830028683,45.40298920031637,45.40298920031637,45.40298920031637,right,6.0,1,1,0.3961737002246082,45.7027765000239,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
13,1,5.0,45.82081359997392,46.30273010022938,46.30273010022938,46.335683500394225,right,5.0,1,1,0.39686420001089573,46.60220180032775,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
14,0.5,5.0,46.72087660012767,47.20281699998304,47.20281699998304,47.23614430008456,left,-5.0,0,0,0.3849999997764826,47.50226480001584,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
15,0.5,5.5,47.60268240002915,48.1025944002904,48.1025944002904,48.1025944002904,right,5.5,1,1,0.6177940997295082,48.402826900128275,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
16,0.5,5.5,48.736134100239724,49.23694560024887,49.23694560024887,49.23694560024887,right,5.5,0,0,1.5785986999981105,49.53588049998507,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
17,0.5,6.0,50.83699900005013,51.33607930038124,51.33607930038124,51.33607930038124,left,-6.0,1,1,0.5642755995504558,51.63577189994976,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
18,0.5,6.0,51.92100020032376,52.402688700240105,52.402688700240105,52.43574780039489,left,-6.0,1,1,0.35531320003792644,52.70278559997678,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
19,0.5,6.0,52.78710489999503,53.26974950032309,53.26974950032309,53.28821950033307,left,-6.0,1,1,0.41286659985780716,53.569828800391406,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
20,0.5,5.5,53.7030389001593,54.20253870030865,54.20253870030865,54.20253870030865,right,5.5,1,1,0.5655098999850452,54.50312789995223,2,001,2023-09-07_19h18.49.895,adaptive_staircase,2023.1.3,None,
